ID_Account;EconomicActivity;ID_Customer;Nperiods;minStartDate;minStartDate_Year;CAE
129215915002;SERV;1292159;12;30.01.2010;2010;93040
148906415001;COMER;1489064;2;29.01.2010;2010;51900
148906470003;COMER;1489064;36;18.03.2010;2010;51900
148918570004;CONSTR;1489185;11;08.01.2010;2010;50100
148918572002;CONSTR;1489185;5;01.03.2010;2010;50100
148918572003;CONSTR;1489185;5;06.04.2010;2010;50100
148918572004;CONSTR;1489185;5;04.05.2010;2010;50100
148918572005;CONSTR;1489185;6;31.05.2010;2010;50100
148918572006;CONSTR;1489185;4;20.08.2010;2010;50100
148918572007;CONSTR;1489185;5;30.09.2010;2010;50100
159692815004;SERV;1596928;6;21.03.2010;2010;99000
177873710001;CONSTR;1778737;16;26.01.2010;2010;45201
181538940001;COMER;1815389;37;14.01.2010;2010;51900
181538972001;COMER;1815389;51;31.03.2010;2010;51900
188356715006;COMER;1883567;1;29.11.2010;2010;51900
191997615001;CONSTR;1919976;3;29.05.2010;2010;45201
191997670049;CONSTR;1919976;37;30.06.2010;2010;45201
